date,high,low,open,close,volume
2019-03-18,22.5,21.9,21.75,22.1875,4550400.0
2019-03-19,22.5,21.9,22.2,22.1875,1689000.0
2019-03-20,21.9,21.75,22.2,21.75,2170730.0
2019-03-21,21.85,21.0,21.8,21.4,3158580.0
2019-03-22,21.25,21.0,21.375,21.0875,2493250.0
2019-03-25,20.6,20.2,21.125,20.2625,3398760.0
2019-03-26,20.5,20.2,20.225,20.3,1641900.0
2019-03-27,20.7,20.3,20.25,20.4625,2240045.0
2019-03-28,20.7,20.45,20.5,20.5,2663850.0
2019-03-29,20.65,20.2,20.45,20.4,7980723.0
2019-04-01,20.45,20.25,20.4,20.2875,1525280.0
2019-04-02,20.5,20.15,20.275,20.3125,1690450.0
2019-04-03,20.15,19.95,20.299999999999997,19.9875,5868450.0
2019-04-04,20.15,19.95,20.025,20.0,1017850.0
2019-04-05,20.15,20.0,19.975,20.025,2689786.0
2019-04-08,20.1,19.85,20.025,19.9125,1657550.0
2019-04-09,20.15,19.9,19.975,19.9625,2070500.0
2019-04-10,20.0,19.85,19.924999999999997,19.799999999999997,2382980.0
2019-04-11,19.9,19.65,19.875,19.7625,900020.0
2019-04-12,19.6,19.45,19.775,19.5,2641450.0
2019-04-16,19.4,19.15,19.5,19.175,7741560.0
2019-04-17,19.6,19.2,19.225,19.349999999999998,6965528.0
2019-04-18,19.5,19.3,19.325,19.35,1332520.0
2019-04-19,19.4,19.4,19.375,19.3375,1035910.0
2019-04-22,19.4,19.35,19.4,19.2875,1251570.0
2019-04-23,19.4,19.1,19.375,19.174999999999997,4128001.0
2019-04-24,19.35,19.25,19.125,19.2375,1338870.0
2019-04-25,19.3,19.05,19.275,19.175,2166900.0
2019-04-26,19.2,19.05,19.175,19.0625,2987530.0
2019-05-02,19.15,18.95,19.05,19.0,1396600.0
2019-05-03,18.95,18.85,19.049999999999997,18.8375,2642790.0
2019-05-06,18.75,18.45,18.9,18.475,2352460.0
2019-05-07,18.6,18.25,18.575,18.4,3579800.0
2019-05-08,18.3,18.05,18.375,18.15,2375310.0
2019-05-09,18.4,18.15,18.15,18.225,2781260.0
2019-05-10,18.4,18.35,18.2,18.325000000000003,1832780.0
2019-05-13,18.75,18.35,18.35,18.450000000000003,1590780.0
2019-05-14,18.5,18.3,18.375,18.3875,1863440.0
2019-05-15,18.9,18.55,18.4,18.7125,2341710.0
2019-05-16,19.05,18.9,18.725,18.9125,2012590.0
2019-05-17,18.9,18.8,18.924999999999997,18.8,1191430.0
2019-05-20,18.95,18.7,18.825000000000003,18.775,3817930.0
2019-05-21,19.1,18.9,18.75,18.9625,2117680.0
2019-05-22,19.3,19.0,18.95,19.1,2448820.0
2019-05-23,19.1,18.75,19.05,18.8625,1249510.0
2019-05-24,19.0,18.6,18.825,18.700000000000003,1398346.0
2019-05-27,18.75,18.6,18.625,18.6375,952130.0
2019-05-28,18.9,18.5,18.675,18.7,1012920.0
2019-05-29,18.6,18.3,18.7,18.45,916770.0
2019-05-30,18.45,18.3,18.450000000000003,18.3375,1907020.0
2019-05-31,18.5,18.2,18.35,18.3125,986850.0
2019-06-03,18.2,18.0,18.275,17.9625,2083880.0
2019-06-04,18.05,17.9,18.075,17.887500000000003,3141231.0
2019-06-05,18.1,17.85,17.95,17.950000000000003,1091510.0
2019-06-06,17.95,17.6,17.925,17.75,1321980.0
2019-06-07,18.1,17.95,17.775,17.9875,1571060.0
2019-06-10,18.2,18.1,17.975,18.0375,1847070.0
2019-06-11,18.2,18.15,18.125,18.112499999999997,1180300.0
2019-06-12,18.2,18.15,18.15,18.137499999999996,1461730.0
2019-06-13,18.4,18.05,18.15,18.175,2107810.0
2019-06-14,18.75,18.25,18.125,18.450000000000003,3211970.0
2019-06-17,18.7,18.6,18.425,18.6,2330100.0
2019-06-18,18.6,18.45,18.6,18.4375,2801939.0
2019-06-19,18.65,18.55,18.475,18.5,3492370.0
2019-06-20,19.2,18.4,18.575000000000003,18.799999999999997,7599920.0
2019-06-21,19.4,19.1,18.799999999999997,19.225,2738070.0
2019-06-24,19.45,19.2,19.200000000000003,19.275,2006700.0
2019-06-25,19.45,19.25,19.25,19.325000000000003,2733250.0
2019-06-26,19.4,19.2,19.325,19.275000000000002,5026480.0
2019-06-27,19.2,18.85,19.25,18.9625,2671610.0
2019-06-28,18.95,18.7,18.950000000000003,18.75,2093890.0
2019-07-01,19.4,18.9,18.799999999999997,19.1375,5055610.0
2019-07-02,19.6,19.3,19.15,19.375,1896120.0
2019-07-03,19.3,19.2,19.325000000000003,19.2,1851150.0
2019-07-04,19.45,19.2,19.25,19.299999999999997,1373820.0
2019-07-05,19.7,19.4,19.275,19.475,1706650.0
2019-07-08,19.4,19.2,19.424999999999997,19.237499999999997,1308420.0
2019-07-09,19.35,19.3,19.275,19.275000000000002,1386950.0
2019-07-10,19.5,19.3,19.325000000000003,19.362499999999997,1938868.0
2019-07-11,19.65,19.5,19.35,19.549999999999997,8416229.0
2019-07-12,19.8,19.5,19.575,19.625,6056520.0
2019-07-15,19.7,19.6,19.6,19.575,7448102.0
2019-07-16,19.75,19.6,19.6,19.6625,1085460.0
2019-07-17,19.75,19.4,19.65,19.525,2912810.0
2019-07-18,19.4,19.3,19.525,19.2875,2094060.0
2019-07-19,19.45,19.3,19.3,19.325,2618510.0
2019-07-22,19.4,19.1,19.35,19.174999999999997,1098360.0
2019-07-23,19.2,19.1,19.15,19.0875,1271300.0
2019-07-24,19.15,19.1,19.1,19.075,4299050.0
2019-07-25,19.1,18.8,19.125,18.95,1882890.0
2019-07-26,18.9,18.75,18.950000000000003,18.75,904490.0
2019-07-29,18.85,18.75,18.75,18.7375,7168180.0
2019-07-30,18.85,18.65,18.75,18.700000000000003,941070.0
2019-07-31,18.7,18.55,18.7,18.599999999999998,1802310.0
2019-08-01,18.6,18.5,18.625,18.4875,2530247.0
2019-08-02,19.4,18.6,18.525,18.8625,4033410.0
2019-08-05,19.4,18.95,18.825000000000003,19.087500000000002,8854850.0
2019-08-06,18.8,18.6,19.0,18.6625,2582640.0
2019-08-07,18.8,18.75,18.700000000000003,18.725,1651750.0
2019-08-08,18.8,18.6,18.775,18.650000000000002,5303320.0
2019-08-09,19.1,18.7,18.65,18.825,1995110.0
2019-08-12,19.1,19.0,18.85,18.975,893270.0
2019-08-13,19.4,19.05,19.0,19.1125,3168430.0
2019-08-14,19.35,19.25,19.075000000000003,19.262500000000003,1291990.0
2019-08-15,19.3,18.9,19.275,19.1,1393730.0
2019-08-16,19.7,19.3,19.1,19.4,3489690.0
2019-08-19,19.65,19.45,19.375,19.4875,4351300.0
2019-08-20,19.55,19.5,19.475,19.487499999999997,852870.0
2019-08-21,19.75,19.5,19.5,19.6,7835526.0
2019-08-22,19.9,19.75,19.625,19.7625,1605840.0
2019-08-23,19.9,19.8,19.775,19.787499999999998,1661910.0
2019-08-26,20.15,19.7,19.85,19.8875,3759730.0
2019-08-27,20.75,20.1,19.9,20.3375,3373460.0
2019-08-28,20.5,20.3,20.25,20.349999999999998,1799290.0
2019-08-29,20.4,20.3,20.35,20.3,1092260.0
2019-08-30,20.5,20.3,20.35,20.3875,2282020.0
2019-09-03,20.4,20.3,20.4,20.1375,10443740.0
2019-09-04,20.2,19.8,20.325000000000003,19.974999999999998,10642096.0
2019-09-05,20.25,20.0,19.950000000000003,20.1,1432320.0
2019-09-06,20.65,20.35,20.125,20.4375,2217450.0
2019-09-09,20.35,20.15,20.375,20.200000000000003,1638310.0
2019-09-10,20.35,20.1,20.225,20.125,1766250.0
2019-09-11,20.2,20.1,20.1,20.1,852800.0
2019-09-12,20.5,20.05,20.125,20.275,1988290.0
2019-09-13,20.8,20.5,20.275,20.575,3031060.0
2019-09-16,20.8,20.7,20.6,20.6875,3618242.0
2019-09-17,20.75,20.6,20.7,20.6125,7344760.0
2019-09-18,21.1,20.65,20.6,20.85,8054290.0
2019-09-19,21.45,21.0,20.875,21.225,2610530.0
2019-09-20,21.5,21.4,21.225,21.387500000000003,2865910.0
2019-09-23,21.7,21.4,21.424999999999997,21.4625,8549730.0
2019-09-24,21.45,21.3,21.4,21.325000000000003,1713130.0
2019-09-25,21.45,21.3,21.325000000000003,21.35,6834490.0
2019-09-26,21.7,21.45,21.35,21.5625,2632810.0
2019-09-27,22.15,21.8,21.549999999999997,21.9375,8146810.0
2019-09-30,22.45,22.05,21.975,22.2,2684340.0
2019-10-01,22.4,22.05,22.175,22.200000000000003,4693290.0
2019-10-02,22.8,22.3,22.200000000000003,22.487499999999997,7035320.0
2019-10-03,22.6,22.5,22.450000000000003,22.4625,6064630.0
2019-10-04,22.75,22.3,22.55,22.525,5566990.0
2019-10-07,22.4,21.75,22.525,22.049999999999997,7126920.0
2019-10-08,22.0,21.75,22.075,21.8625,12880420.0
2019-10-09,22.15,21.9,21.875,22.012499999999996,6155290.0
2019-10-10,22.3,22.1,22.0,22.175,10621640.0
2019-10-11,22.35,22.1,22.15,22.225,5146190.0
